capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Black,54,206,144,84,437,206,203,209,333,328,338
Black,176,255,203,110,597,255,286,274,313,351,336
Black,287,239,234,122,629,239,329,304,274,377,349
Black,396,72,77,49,206,72,108,122,238,358,404
Black,505,104,138,91,348,104,194,227,198,370,432
Black,613,309,260,148,748,309,366,369,296,351,353
Black,723,294,221,126,665,294,311,314,320,338,342
Black,833,309,258,142,751,309,363,354,301,354,345
Black,943,240,263,137,683,240,370,342,252,389,359
Black,1053,133,193,116,467,133,272,289,192,392,416
Black,1164,148,216,127,519,148,304,317,192,395,412
Black,1275,147,212,122,507,147,298,304,196,398,406
Black,1385,305,282,155,782,305,397,386,280,365,355
Black,1497,300,247,138,720,300,348,344,302,351,347
Black,1608,249,273,148,720,249,384,369,249,383,368
Black,1718,197,244,130,618,197,343,324,228,397,375
Black,1830,264,252,133,691,264,355,332,278,373,349
Black,1940,249,215,116,610,249,303,289,296,360,344
Black,2051,270,260,137,709,270,366,342,276,374,350
Black,2163,210,261,141,653,210,367,352,226,395,379
Black,2273,250,214,117,610,250,301,292,297,357,346
Black,2384,241,210,115,595,241,295,287,293,358,349
Black,2494,270,287,155,763,270,404,386,255,381,364
Black,2606,293,254,140,722,293,357,349,293,357,349
Black,2717,187,135,79,408,187,190,197,326,331,343
Black,2826,233,171,97,515,233,241,242,325,337,338
Black,2937,287,253,136,714,287,356,339,292,363,345
Black,3047,263,264,139,705,263,371,347,268,378,354
Black,3158,213,247,128,627,213,348,319,242,395,363
Black,3270,264,207,113,610,264,291,282,315,348,337
Black,3380,219,164,95,491,219,231,237,319,336,345
Black,3490,226,181,104,535,226,255,259,305,345,350
Black,3601,257,241,136,673,257,339,339,275,363,363
Black,3712,252,246,136,672,252,346,339,269,369,362
Black,3823,269,274,157,743,269,386,391,257,369,374
Black,3934,263,221,122,629,263,311,304,300,354,346
Black,4045,242,186,103,546,242,262,257,318,344,338
Black,4155,255,246,128,675,255,346,319,277,376,347
Black,4266,170,208,109,528,170,293,272,231,399,370
Black,4378,118,155,93,392,118,218,232,208,384,408
Black,4487,316,262,147,759,316,369,366,301,351,348
Black,4598,216,149,87,453,216,210,217,336,327,337
Black,4708,238,179,100,527,238,252,249,322,341,337
Black,4819,278,290,161,786,278,408,401,256,375,369
Black,4929,256,293,164,767,256,412,409,238,383,380
Black,5041,290,280,153,762,290,394,381,272,370,358
Black,5152,230,171,96,506,230,241,239,324,339,337
Black,5261,293,248,132,709,293,349,329,302,359,339
Black,5373,198,251,134,626,198,353,334,224,399,377
Black,5483,131,189,113,460,131,266,282,193,392,415
Black,5594,258,201,110,587,258,283,274,317,347,336
Black,5706,233,161,94,501,233,227,234,336,327,337
Black,5815,296,255,135,721,296,359,337,298,362,340
Black,5926,314,302,160,824,314,425,399,276,373,351
