capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Brown,54,548,303,164,1026,548,426,409,396,308,296
Brown,178,832,470,239,1583,832,661,596,398,316,285
Brown,289,1093,687,329,2207,1093,967,820,380,336,285
Brown,402,1021,752,355,2270,1021,1058,885,344,357,299
Brown,516,1108,726,348,2314,1108,1021,868,370,341,290
Brown,631,1084,724,341,2265,1084,1019,850,367,345,288
Brown,745,1030,745,347,2247,1030,1048,865,350,356,294
Brown,858,181,109,61,358,181,153,152,372,315,313
Brown,968,1078,763,356,2323,1078,1074,888,355,353,292
Brown,1081,972,567,279,1888,972,798,696,394,324,282
Brown,1193,966,556,274,1864,966,782,683,397,322,281
Brown,1306,951,544,273,1831,951,765,681,397,319,284
Brown,1417,1106,676,327,2203,1106,951,815,385,331,284
Brown,1531,1141,708,308,2292,1141,996,768,393,343,264
Brown,1646,1064,626,307,2091,1064,881,765,393,325,282
Brown,1759,1111,697,332,2259,1111,981,828,380,336,284
Brown,1873,876,486,245,1660,876,684,611,404,315,281
Brown,1986,668,358,187,1241,668,504,466,408,308,284
Brown,2097,660,354,184,1229,660,498,459,408,308,284
Brown,2209,1124,693,332,2251,1124,975,828,384,333,283
Brown,2324,1070,650,312,2127,1070,915,778,387,331,282
Brown,2437,1093,676,323,2189,1093,951,805,384,334,283
Brown,2552,1094,657,316,2156,1094,924,788,390,329,281
Brown,2666,852,469,243,1602,852,660,606,402,312,286
Brown,2777,995,573,283,1917,995,806,706,397,321,282
Brown,2890,1031,601,295,1999,1031,846,735,395,324,281
Brown,3003,1023,592,292,1976,1023,833,728,396,322,282
Brown,3117,1179,738,349,2376,1179,1038,870,382,336,282
Brown,3233,1152,787,360,2432,1152,1107,897,365,351,284
Brown,3348,1099,755,349,2336,1099,1062,870,363,350,287
Brown,3462,1163,755,355,2395,1163,1062,885,374,341,285
Brown,3578,1119,669,323,2207,1119,941,805,391,328,281
Brown,3692,901,504,257,1715,901,709,641,400,315,285
Brown,3804,954,536,269,1818,954,754,671,401,317,282
Brown,3916,1045,600,294,2012,1045,844,733,399,322,280
Brown,4030,1191,733,347,2378,1191,1031,865,386,334,280
Brown,4145,1062,602,296,2031,1062,847,738,401,320,279
Brown,4259,939,518,262,1770,939,729,653,405,314,281
Brown,4370,1108,695,329,2233,1108,978,820,381,337,282
Brown,4485,992,564,280,1903,992,794,698,399,320,281
Brown,4597,703,377,201,1301,703,530,501,405,306,289
Brown,4708,965,543,274,1843,965,764,683,400,317,283
Brown,4821,998,702,327,2139,998,988,815,356,353,291
Brown,4933,962,544,271,1839,962,765,676,400,318,281
Brown,5044,747,403,212,1390,747,567,529,405,308,287
Brown,5157,1100,657,316,2170,1100,924,788,391,329,280
Brown,5271,1065,626,304,2082,1065,881,758,394,326,280
Brown,5384,663,356,197,1224,663,501,491,401,303,297
Brown,5497,857,465,239,1601,857,654,596,407,310,283
Brown,5609,1091,648,315,2141,1091,912,785,391,327,282
Brown,5723,983,554,276,1874,983,779,688,401,318,281
Brown,5835,688,374,207,1279,688,526,516,398,304,298
Brown,5946,764,414,220,1421,764,582,548,403,307,289
Brown,6059,1124,711,335,2276,1124,1000,835,380,338,282
Brown,6174,742,401,216,1378,742,564,538,402,306,292
Brown,6285,677,369,204,1260,677,519,509,397,304,299
Brown,6398,792,430,223,1477,792,605,556,406,310,285
Brown,6510,1156,706,337,2300,1156,993,840,387,332,281
Brown,6623,1113,669,323,2197,1113,941,805,389,329,282
Brown,6738,729,398,215,1361,729,560,536,399,307,294
Brown,6850,937,527,264,1784,937,741,658,401,317,282
Brown,6961,1080,640,310,2117,1080,900,773,392,327,281
Brown,7076,1011,582,286,1956,1011,819,713,398,322,280
