capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Green,54,569,842,320,1793,569,1185,798,223,464,313
Green,179,911,1505,536,3136,911,2118,1336,209,485,306
Green,294,640,1671,549,3096,640,2351,1369,147,539,314
Green,407,778,1870,618,3539,778,2631,1541,157,532,311
Green,521,935,1688,589,3438,935,2375,1468,196,497,307
Green,636,878,1506,534,3109,878,2119,1331,203,490,308
Green,749,842,1406,503,2921,842,1978,1254,207,486,308
Green,863,958,1709,600,3493,958,2405,1496,197,495,308
Green,978,981,1967,669,3904,981,2768,1668,181,511,308
Green,1091,819,1932,638,3676,819,2718,1591,160,530,310
Green,1207,736,1835,603,3444,736,2582,1503,153,536,312
Green,1322,700,1780,585,3324,700,2504,1458,150,537,313
Green,1436,992,1840,636,3721,992,2589,1586,192,501,307
Green,1552,999,1921,654,3846,999,2703,1630,187,507,306
Green,1667,776,1881,621,3555,776,2647,1548,156,532,311
Green,1782,523,1442,475,2635,523,2029,1184,140,543,317
Green,1897,593,1584,519,2918,593,2229,1294,144,542,314
Green,2012,998,1921,654,3844,998,2703,1630,187,507,306
Green,2128,919,1618,567,3311,919,2277,1414,199,494,307
Green,2242,985,1843,632,3713,985,2593,1576,191,503,306
Green,2357,844,1963,647,3746,844,2762,1613,162,529,309
Green,2473,345,1004,326,1798,345,1413,813,134,550,316
Green,2586,625,1646,538,3046,625,2316,1341,146,541,313
Green,2702,971,1993,669,3918,971,2804,1668,178,515,306
Green,2817,984,1835,630,3697,984,2582,1571,192,503,306
Green,2931,995,1896,647,3800,995,2668,1613,189,506,306
Green,3047,946,2011,673,3923,946,2829,1678,173,519,308
Green,3162,743,1851,605,3476,743,2604,1508,153,536,311
Green,3278,745,1850,607,3477,745,2603,1513,153,535,311
Green,3392,973,1986,668,3912,973,2794,1665,179,514,307
Green,3507,975,1863,635,3727,975,2621,1583,188,506,306
Green,3623,979,1887,644,3771,979,2655,1605,187,507,306
Green,3737,963,1989,668,3907,963,2799,1665,177,516,307
Green,3852,827,1956,644,3718,827,2752,1605,160,531,310
Green,3968,781,1906,626,3595,781,2682,1561,155,534,311
Green,4082,694,1783,584,3323,694,2509,1456,149,539,313
Green,4198,732,1839,602,3445,732,2587,1501,152,537,311
Green,4313,915,2001,666,3873,915,2815,1660,170,522,308
Green,4427,974,1906,647,3790,974,2682,1613,185,509,306
Green,4543,943,1996,668,3894,943,2808,1665,174,518,307
Green,4658,786,1912,627,3610,786,2690,1563,156,534,310
Green,4774,579,1574,516,2897,579,2215,1286,142,543,315
Green,4888,468,1321,433,2404,468,1859,1079,137,546,317
Green,5003,230,746,230,1286,230,1050,573,124,567,309
Green,5117,214,714,217,1219,214,1005,541,122,571,307
Green,5229,335,990,319,1768,335,1393,795,133,552,315
Green,5342,783,1905,626,3596,783,2680,1561,156,533,311
Green,5458,831,1954,645,3720,831,2749,1608,160,530,310
Green,5572,645,1695,555,3141,645,2385,1384,146,540,314
Green,5687,470,1327,434,2415,470,1867,1082,137,546,316
Green,5803,303,911,293,1616,303,1282,730,131,554,315
Green,5915,188,656,193,1101,188,923,481,118,580,302
Green,6028,368,1071,348,1923,368,1507,868,134,549,316
Green,6142,748,1858,610,3489,748,2614,1521,153,535,311
Green,6256,825,1947,642,3702,825,2739,1601,160,530,310
Green,6372,883,1989,660,3825,883,2799,1645,166,525,309
Green,6487,861,1978,653,3786,861,2783,1628,163,528,309
Green,6601,857,1977,653,3781,857,2782,1628,163,528,309
Green,6717,726,1836,602,3437,726,2583,1501,151,537,312
Green,6832,513,1429,468,2610,513,2011,1167,139,545,316
Green,6948,308,935,300,1656,308,1316,748,130,555,315
Green,7060,365,1071,348,1922,365,1507,868,133,550,317
Green,7174,607,1631,534,3009,607,2295,1331,143,542,314
Green,7290,787,1913,628,3613,787,2692,1566,156,534,310
Green,7404,830,1955,645,3720,830,2751,1608,160,530,310
Green,7519,724,1829,601,3608,724,2573,1498,151,537,312
Green,7635,540,1491,488,2732,540,2098,1217,140,544,316
Green,7749,272,854,268,1494,272,1202,668,127,561,312
Green,7863,167,622,176,1023,167,875,439,113,591,296
Green,7975,295,909,288,1603,295,1279,718,129,558,313
Green,8087,564,1542,505,2833,564,2170,1259,141,543,315
Green,8203,800,1924,634,3642,800,2707,1581,157,532,311
Green,8318,841,1965,650,3744,841,2765,1620,161,529,310
Green,8432,761,1882,618,3539,761,2648,1541,154,535,311
Green,8548,611,1640,536,3026,611,2307,1336,144,542,314
Green,8663,265,840,262,1465,265,1182,653,126,563,311
Green,8776,170,633,179,1042,170,891,446,113,591,296
Green,8888,344,1021,330,1825,344,1437,823,132,552,316
Green,9002,491,1381,451,2518,491,1943,1124,138,546,316
Green,9117,666,1741,585,3234,666,2450,1458,146,536,319
Green,9232,762,1884,619,3545,762,2651,1543,154,535,311
Green,9347,724,1834,601,3431,724,2580,1498,151,537,312
Green,9462,627,1670,546,3088,627,2350,1361,145,542,314
Green,9577,322,975,311,1732,322,1372,775,130,556,314
Green,9691,218,738,222,1258,218,1038,553,121,574,306
Green,9803,149,587,163,951,149,826,406,108,598,294
Green,9914,487,1366,446,2492,487,1922,1112,138,546,316
Green,10030,652,1717,562,3185,652,2416,1401,146,541,313
Green,10145,787,1911,629,3611,787,2689,1568,156,533,311
Green,10261,882,1991,661,3826,882,2801,1648,165,525,309
Green,10378,821,1947,643,3699,821,2739,1603,159,531,310
Green,10494,644,1698,557,3149,644,2389,1389,146,540,314
Green,10610,448,1273,417,2313,448,1791,1040,137,546,317
Green,10726,153,590,165,961,153,830,411,110,595,295
Green,10838,423,1210,396,2192,423,1702,987,136,547,317
Green,10953,654,1716,563,3185,654,2414,1404,146,540,314
Green,11069,833,1957,647,3724,833,2753,1613,160,530,310
Green,11185,913,1995,665,3865,913,2807,1658,170,522,308
Green,11302,863,1980,656,3787,863,2786,1635,163,527,309
Green,11417,650,1708,561,3167,650,2403,1399,146,540,314
Green,11534,400,1153,377,2081,400,1622,940,135,548,317
Green,11649,366,1069,348,1920,366,1504,868,134,549,317
