capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Yellow,56,2144,1356,492,4114,2144,1908,1227,406,361,232
Yellow,187,3414,2218,740,6674,3414,3121,1845,407,372,220
Yellow,304,4430,2956,953,8789,4430,4159,2376,404,379,217
Yellow,422,5809,4112,1270,11907,5809,5786,3166,394,392,214
Yellow,540,5891,4188,1287,12097,5891,5893,3208,393,393,214
Yellow,659,5795,4057,1249,11812,5795,5708,3114,396,391,213
Yellow,779,5763,4012,1237,11715,5763,5645,3084,398,390,213
Yellow,898,5024,3384,1069,10034,5024,4761,2665,404,382,214
Yellow,1018,3865,2533,825,7599,3865,3564,2057,407,376,217
Yellow,1135,3600,2359,772,7078,3600,3319,1925,407,375,218
Yellow,1254,3270,2136,706,6410,3270,3005,1760,407,374,219
Yellow,1372,3060,1991,664,5982,3060,2801,1655,407,373,220
Yellow,1490,3678,2411,790,7233,3678,3392,1969,407,375,218
Yellow,1609,4760,3203,1016,9512,4760,4507,2533,403,382,215
Yellow,1727,5768,4087,1251,11839,5768,5750,3119,394,393,213
Yellow,1848,6040,4398,1324,12570,6040,6188,3301,389,398,213
Yellow,1968,5035,3466,1087,10176,5035,4877,2710,399,386,215
Yellow,2089,4482,3025,964,8965,4482,4256,2403,402,382,216
Yellow,2207,4255,2869,919,8499,4255,4037,2291,402,381,216
Yellow,2325,3978,2664,862,7925,3978,3748,2149,403,380,218
Yellow,2443,4733,3230,1024,9534,4733,4545,2553,400,384,216
Yellow,2562,6036,4428,1337,12617,6036,6230,3333,387,399,214
Yellow,2683,6029,4419,1339,12596,6029,6218,3338,387,399,214
Yellow,2803,5340,3726,1163,10884,5340,5242,2899,396,389,215
Yellow,2923,4655,3145,996,9322,4655,4425,2483,403,383,215
Yellow,3041,4093,2729,878,7980,4093,3840,2189,404,379,216
Yellow,3160,4453,2998,953,8895,4453,4218,2376,403,382,215
Yellow,3278,5522,3861,1192,11259,5522,5432,2972,397,390,213
Yellow,3398,6014,4335,1308,12455,6014,6099,3261,391,397,212
Yellow,3518,6129,4525,1341,12834,6129,6367,3343,387,402,211
Yellow,3639,6133,4522,1335,12831,6133,6362,3328,388,402,210
Yellow,3759,5572,3900,1200,11362,5572,5487,2992,397,391,213
Yellow,3879,3856,2549,822,7611,3856,3586,2049,406,378,216
Yellow,3998,3705,2438,790,7295,3705,3430,1969,407,377,216
Yellow,4115,4259,2845,909,8460,4259,4003,2266,405,380,215
Yellow,4234,5239,3598,1121,10574,5239,5062,2795,400,387,213
Yellow,4354,5774,4068,1245,11816,5774,5724,3104,395,392,213
Yellow,4475,5820,4103,1258,11912,5820,5773,3136,395,392,213
Yellow,4595,4112,2741,878,8160,4112,3857,2189,405,380,215
Yellow,4713,3494,2294,746,6868,3494,3228,1860,407,376,217
Yellow,4831,3694,2436,789,7283,3694,3427,1967,406,377,216
Yellow,4949,3295,2156,706,6896,3295,3033,1760,407,375,218
Yellow,5068,2751,1790,595,5371,2751,2519,1483,407,373,220
Yellow,5185,3238,2119,694,6355,3238,2981,1730,407,375,218
Yellow,5304,4479,3014,958,8937,4479,4241,2388,403,382,215
Yellow,5422,5362,3701,1147,10847,5362,5207,2859,399,388,213
Yellow,5543,6056,4345,1317,12510,6056,6113,3283,392,396,212
Yellow,5663,6213,4549,1352,12962,6213,6400,3371,389,400,211
Yellow,5783,6192,4585,1346,12988,6192,6451,3356,387,403,210
Yellow,5903,6242,4607,1361,13075,6242,6482,3393,387,402,211
Yellow,6024,6101,4407,1327,12647,6101,6201,3308,391,397,212
Yellow,6144,5825,4130,1262,11963,5825,5811,3146,394,393,213
Yellow,6264,5576,3911,1201,11381,5576,5503,2994,396,391,213
Yellow,6384,5350,3716,1148,10858,5350,5228,2862,398,389,213
Yellow,6504,4625,3125,986,9250,4625,4397,2458,403,383,214
Yellow,6623,4054,2710,866,8056,4054,3813,2159,404,380,215
Yellow,6741,4113,2755,880,8179,4113,3876,2194,404,381,215
Yellow,6860,3345,2199,717,6578,3345,3094,1787,407,376,217
