capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Cyan,54,711,1301,1136,2543,711,1831,2832,132,341,527
Cyan,179,963,1437,1247,3829,963,2022,3109,158,332,510
Cyan,294,948,1562,1347,4073,948,2198,3358,146,338,516
Cyan,407,750,1454,1268,3693,750,2046,3161,126,343,531
Cyan,521,752,1471,1288,3735,752,2070,3211,125,343,532
Cyan,636,918,1525,1336,4005,918,2146,3331,144,336,521
Cyan,749,834,1240,1100,3338,834,1745,2742,157,328,515
Cyan,863,903,1425,1252,3793,903,2005,3121,150,333,518
Cyan,978,912,1416,1239,3776,912,1992,3089,152,332,515
Cyan,1091,918,1461,1278,3871,918,2056,3186,149,334,517
Cyan,1206,917,1519,1318,3970,917,2137,3286,145,337,518
Cyan,1322,907,1384,1212,3692,907,1947,3022,154,331,514
Cyan,1436,778,1115,987,3005,778,1569,2461,162,326,512
Cyan,1551,941,1612,1390,4183,941,2268,3465,141,340,519
Cyan,1666,498,1022,913,2573,498,1438,2276,118,341,540
Cyan,1779,361,700,637,1778,361,985,1588,123,336,541
Cyan,1892,369,720,653,1828,369,1013,1628,123,337,541
Cyan,2005,900,1591,1379,4110,900,2239,3438,137,340,523
Cyan,2119,581,1189,1056,3010,581,1673,2633,119,342,539
Cyan,2235,121,202,210,525,121,284,524,130,306,564
Cyan,2345,95,155,173,406,95,218,431,128,293,579
Cyan,2453,150,251,248,649,150,353,618,134,315,551
Cyan,2563,687,1365,1193,3459,687,1921,2974,123,344,533
Cyan,2679,922,1648,1413,4235,922,2319,3523,136,343,521
Cyan,2793,944,1652,1420,4264,944,2324,3540,139,341,520
Cyan,2909,750,1472,1276,3729,750,2071,3181,125,345,530
Cyan,3024,221,392,369,1012,221,552,920,131,326,543
Cyan,3134,91,149,168,391,91,210,419,126,292,582
Cyan,3243,394,763,685,1942,394,1074,1708,124,338,538
Cyan,3356,866,1615,1379,4108,866,2272,3438,132,345,523
Cyan,3471,966,1633,1399,4233,966,2298,3488,143,340,517
Cyan,3586,931,1652,1412,4241,931,2324,3520,137,343,520
Cyan,3702,543,1099,967,2768,543,1546,2411,121,344,536
Cyan,3815,411,798,716,2031,411,1123,1785,124,338,538
Cyan,3928,591,1204,1059,3040,591,1694,2640,120,344,536
Cyan,4044,677,1377,1204,3472,677,1937,3002,121,345,535
Cyan,4158,662,1349,1187,3404,662,1898,2959,120,344,536
Cyan,4274,594,1221,1078,3072,594,1718,2687,119,344,538
Cyan,4389,698,1396,1211,3513,698,1964,3019,123,346,531
Cyan,4503,931,1544,1342,4032,931,2172,3346,144,337,519
Cyan,4619,927,1461,1287,3878,927,2056,3208,150,332,518
Cyan,4734,751,1479,1297,3752,751,2081,3233,124,343,533
Cyan,4848,577,1218,993,3057,577,1714,2476,121,360,519
Cyan,4963,674,1372,1208,3455,674,1930,3012,120,344,536
Cyan,5078,912,1603,1399,4149,912,2255,3488,137,339,524
Cyan,5193,922,1482,1306,3921,922,2085,3256,147,333,520
