capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Grey,53,1931,1472,809,4416,1931,2071,2017,321,344,335
Grey,180,1971,1519,834,4542,1971,2137,2079,319,345,336
Grey,295,2068,1672,906,4905,2068,2353,2259,310,352,338
Grey,411,2034,1584,864,4713,2034,2229,2154,317,347,336
Grey,525,1664,1155,662,3623,1664,1625,1650,337,329,334
Grey,640,2008,1574,857,4670,2008,2215,2137,316,348,336
Grey,756,2151,1632,892,4902,2151,2296,2224,322,344,333
Grey,870,1604,1122,638,3478,1604,1579,1591,336,331,333
Grey,986,1774,1252,705,3848,1774,1762,1758,335,333,332
Grey,1101,2303,1768,970,5331,2303,2488,2418,319,345,335
Grey,1216,1851,1403,778,4245,1851,1974,1940,321,342,337
Grey,1333,2149,1841,982,5272,2149,2590,2448,299,360,341
Grey,1449,1820,1410,770,4199,1820,1984,1920,318,347,335
Grey,1566,2008,1698,906,4910,2008,2389,2259,302,359,339
Grey,1681,1590,1616,847,4335,1590,2274,2112,266,381,353
Grey,1797,1457,1496,786,4003,1457,2105,1959,264,381,355
Grey,1914,1795,1683,886,4671,1795,2368,2209,282,372,347
Grey,2029,1805,1654,873,4638,1805,2327,2176,286,369,345
Grey,2146,1618,1558,823,4301,1618,2192,2052,276,374,350
Grey,2262,1325,1361,727,3687,1325,1915,1812,262,379,359
Grey,2378,1818,1604,853,4564,1818,2257,2127,293,364,343
Grey,2494,1377,978,563,3017,1377,1376,1404,331,331,338
Grey,2609,1751,1300,720,3947,1751,1829,1795,326,340,334
Grey,2726,1828,1358,752,4118,1828,1911,1875,326,340,334
Grey,2841,1773,1293,723,3947,1773,1819,1802,329,337,334
Grey,2957,1794,1326,734,4026,1794,1866,1830,327,340,333
Grey,3074,1890,1434,784,4311,1890,2018,1955,322,344,333
Grey,3190,1953,1518,826,4525,1953,2136,2059,318,347,335
Grey,3306,1921,1488,810,4446,1921,2094,2019,318,347,335
Grey,3422,1582,1116,634,3458,1582,1570,1581,334,332,334
Grey,3538,1746,1265,705,3874,1746,1780,1758,330,337,333
