capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Magenta,59,2528,807,739,4022,2528,1135,1842,459,206,335
Magenta,189,2782,921,827,4480,2782,1296,2062,453,211,336
Magenta,306,2903,1018,901,4784,2903,1432,2246,441,218,341
Magenta,425,2888,1034,913,4793,2888,1455,2276,436,220,344
Magenta,543,2590,960,858,4321,2590,1351,2139,426,222,352
Magenta,659,2605,967,863,4349,2605,1361,2151,426,222,352
Magenta,777,2609,968,862,4358,2609,1362,2149,426,223,351
Magenta,894,2473,912,820,4103,2473,1283,2044,426,221,352
Magenta,1012,2548,944,841,4243,2548,1328,2097,427,222,351
Magenta,1129,2876,1043,915,4788,2876,1468,2281,434,222,344
Magenta,1249,2908,1012,896,4773,2908,1424,2234,443,217,340
Magenta,1368,2805,948,850,4555,2805,1334,2119,448,213,339
Magenta,1486,2794,947,850,4546,2794,1332,2119,447,213,339
Magenta,1604,2781,941,845,4520,2781,1324,2107,448,213,339
Magenta,1722,2744,923,831,4449,2744,1299,2072,449,212,339
Magenta,1841,2802,954,856,4566,2802,1342,2134,446,214,340
Magenta,1959,2895,1028,912,4793,2895,1446,2274,438,219,344
Magenta,2079,2592,958,864,4322,2592,1348,2154,425,221,353
Magenta,2196,2700,996,891,4515,2700,1401,2221,427,222,351
Magenta,2314,1773,541,508,2759,1773,761,1266,467,200,333
Magenta,2432,1864,572,535,2908,1864,805,1334,466,201,333
Magenta,2549,2896,992,888,4737,2896,1396,2214,445,215,340
Magenta,2667,2906,1039,924,4824,2906,1462,2304,436,219,345
Magenta,2786,2610,948,859,4322,2610,1334,2141,429,219,352
Magenta,2905,2708,987,887,4503,2708,1389,2211,429,220,351
Magenta,3023,2305,737,676,3669,2305,1037,1685,459,206,335
Magenta,3140,2275,725,665,3613,2275,1020,1658,459,206,335
Magenta,3259,2884,994,888,4730,2884,1399,2214,444,215,341
Magenta,3377,2722,995,892,4533,2722,1400,2224,429,221,350
Magenta,3496,2431,870,798,3971,2431,1224,1989,431,217,352
Magenta,3614,2302,804,749,3701,2302,1131,1867,434,213,352
Magenta,3732,2638,962,867,4377,2638,1354,2161,429,220,351
Magenta,3850,2750,910,822,4441,2750,1280,2049,452,211,337
Magenta,3968,2784,926,834,4497,2784,1303,2079,452,211,337
Magenta,4087,2856,985,882,4651,2856,1386,2199,443,215,341
Magenta,4204,2902,1035,920,4815,2902,1456,2294,436,219,345
Magenta,4324,2652,972,870,4412,2652,1368,2169,429,221,350
Magenta,4442,2710,998,888,4521,2710,1404,2214,428,222,350
Magenta,4561,2479,910,824,4096,2479,1280,2054,426,220,353
Magenta,4678,2528,934,840,4201,2528,1314,2094,426,221,353
Magenta,4797,2894,1044,924,4822,2894,1469,2304,434,220,346
Magenta,4916,2759,920,826,4462,2759,1294,2059,451,212,337
Magenta,5034,2545,822,747,4065,2545,1157,1862,457,208,335
Magenta,5153,2628,857,776,4215,2628,1206,1935,456,209,335
Magenta,5270,2645,866,784,4251,2645,1218,1955,455,209,336
Magenta,5389,2799,939,842,4542,2799,1321,2099,450,212,338
Magenta,5507,2676,879,796,4312,2676,1237,1984,454,210,336
Magenta,5626,2350,751,688,3746,2350,1057,1715,459,206,335
Magenta,5743,2705,899,811,4379,2705,1265,2022,451,211,337
Magenta,5861,2873,990,882,4712,2873,1393,2199,444,215,340
Magenta,5980,2910,1011,898,4786,2910,1422,2239,443,216,341
Magenta,6099,2901,998,885,4745,2901,1404,2206,446,216,339
Magenta,6218,2863,969,863,4656,2863,1363,2151,449,214,337
Magenta,6335,2728,898,809,4392,2728,1263,2017,454,210,336
Magenta,6454,2683,877,794,4317,2683,1234,1979,455,209,336
Magenta,6572,2610,848,770,4192,2610,1193,1920,456,208,335
Magenta,6690,2750,914,821,4443,2750,1286,2047,452,211,337
Magenta,6808,2855,961,859,4636,2855,1352,2141,450,213,337
Magenta,6926,2610,835,758,4157,2610,1175,1890,460,207,333
Magenta,7045,2622,835,758,4163,2622,1175,1890,461,207,332
Magenta,7163,2471,777,707,3892,2471,1093,1763,464,205,331
Magenta,7282,2710,874,790,4329,2710,1230,1969,459,208,333
Magenta,7399,2578,844,767,4155,2578,1188,1912,454,209,337
Magenta,7518,2534,838,759,4101,2534,1179,1892,452,210,338
Magenta,7636,2798,974,870,4618,2798,1370,2169,442,216,342
Magenta,7754,2588,825,746,4108,2588,1161,1860,461,207,332
Magenta,7872,2635,832,753,4160,2635,1171,1877,464,206,330
Magenta,7990,2927,1000,883,4773,2927,1407,2201,448,215,337
Magenta,8110,2759,1023,912,4631,2759,1439,2274,426,222,351
Magenta,8229,2811,1037,924,4723,2811,1459,2304,428,222,350
Magenta,8349,2848,1044,927,4776,2848,1469,2311,430,222,349
Magenta,8467,2696,1003,898,4521,2696,1411,2239,425,222,353
Magenta,8586,2593,962,866,4330,2593,1354,2159,425,222,354
Magenta,8705,2884,1010,897,4758,2884,1421,2236,441,217,342
Magenta,8824,2569,835,757,4116,2569,1175,1887,456,209,335
Magenta,8942,2896,1040,919,4816,2896,1463,2291,435,220,345
Magenta,9061,2590,959,861,4318,2590,1349,2146,426,222,353
Magenta,9180,2528,933,842,4201,2528,1313,2099,426,221,353
Magenta,9298,2667,873,787,4285,2667,1228,1962,455,210,335
Magenta,9417,2084,641,595,3264,2084,902,1483,466,202,332
Magenta,9533,2062,636,590,3237,2062,895,1471,466,202,332
Magenta,9650,2371,745,682,3748,2371,1048,1700,463,205,332
Magenta,9769,2489,783,712,3926,2489,1102,1775,464,205,331
Magenta,9887,2614,836,759,4161,2614,1176,1892,460,207,333
Magenta,10005,2685,890,801,4336,2685,1252,1997,452,211,337
Magenta,10124,2585,862,781,4198,2585,1213,1947,450,211,339
Magenta,10244,2726,918,826,4439,2726,1292,2059,449,213,339
Magenta,10363,2609,869,785,4227,2609,1223,1957,451,211,338
Magenta,10482,2648,881,792,4279,2648,1240,1974,452,212,337
Magenta,10601,2751,913,815,4433,2751,1285,2032,453,212,335
Magenta,10720,2273,700,643,3542,2273,985,1603,468,203,330
Magenta,10839,2321,720,660,3633,2321,1013,1645,466,203,330
