capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
nothing,58,74,66,67,159,74,93,167,222,278,500
nothing,178,74,66,67,158,74,93,167,222,278,500
nothing,287,74,66,67,158,74,93,167,222,278,500
nothing,395,74,66,66,158,74,93,165,223,280,497
nothing,503,74,66,66,158,74,93,165,223,280,497
nothing,611,74,66,66,158,74,93,165,223,280,497
nothing,720,74,66,66,158,74,93,165,223,280,497
nothing,829,73,66,66,158,73,93,165,221,281,498
nothing,937,73,66,66,158,73,93,165,221,281,498
nothing,1046,73,66,66,157,73,93,165,221,281,498
nothing,1153,73,66,66,157,73,93,165,221,281,498
nothing,1262,73,66,66,157,73,93,165,221,281,498
nothing,1370,73,66,66,156,73,93,165,221,281,498
nothing,1479,73,65,66,156,73,91,165,222,277,502
nothing,1587,73,65,66,156,73,91,165,222,277,502
nothing,1696,73,65,66,156,73,91,165,222,277,502
nothing,1804,73,65,66,155,73,91,165,222,277,502
nothing,1912,73,65,66,155,73,91,165,222,277,502
nothing,2020,72,65,66,155,72,91,165,220,277,503
nothing,2129,72,65,65,155,72,91,162,222,280,498
nothing,2238,73,65,66,155,73,91,165,222,277,502
nothing,2346,73,65,66,155,73,91,165,222,277,502
nothing,2455,73,65,66,156,73,91,165,222,277,502
nothing,2563,73,65,66,156,73,91,165,222,277,502
nothing,2671,73,65,66,156,73,91,165,222,277,502
nothing,2779,73,65,66,156,73,91,165,222,277,502
nothing,2888,73,65,66,156,73,91,165,222,277,502
nothing,2996,73,65,66,156,73,91,165,222,277,502
nothing,3105,73,65,66,156,73,91,165,222,277,502
nothing,3213,73,65,66,156,73,91,165,222,277,502
nothing,3321,73,65,66,156,73,91,165,222,277,502
nothing,3429,73,65,66,156,73,91,165,222,277,502
nothing,3538,73,65,66,156,73,91,165,222,277,502
nothing,3647,73,65,66,156,73,91,165,222,277,502
nothing,3755,73,65,66,156,73,91,165,222,277,502
nothing,3864,73,65,66,156,73,91,165,222,277,502
nothing,3972,73,65,66,156,73,91,165,222,277,502
nothing,4080,73,65,66,155,73,91,165,222,277,502
nothing,4188,72,65,65,155,72,91,162,222,280,498
nothing,4297,72,65,65,155,72,91,162,222,280,498
nothing,4405,72,65,65,155,72,91,162,222,280,498
nothing,4514,72,65,65,155,72,91,162,222,280,498
nothing,4622,72,65,65,155,72,91,162,222,280,498
nothing,4731,72,65,65,155,72,91,162,222,280,498
nothing,4839,72,65,65,155,72,91,162,222,280,498
nothing,4947,72,65,65,155,72,91,162,222,280,498
nothing,5056,72,65,65,155,72,91,162,222,280,498
nothing,5164,72,65,65,155,72,91,162,222,280,498
nothing,5273,72,65,65,155,72,91,162,222,280,498
nothing,5381,72,65,65,155,72,91,162,222,280,498
nothing,5490,72,65,65,155,72,91,162,222,280,498
