capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Orange,56,3279,1225,528,5183,3279,1724,1316,519,273,208
Orange,186,3580,1361,575,5695,3580,1915,1433,517,276,207
Orange,304,3386,1277,544,5370,3386,1797,1356,518,275,207
Orange,421,3623,1371,581,5760,3623,1929,1448,518,276,207
Orange,538,3404,1284,545,5391,3404,1807,1359,518,275,207
Orange,655,2252,822,367,3510,2252,1157,915,521,268,212
Orange,770,3448,1294,547,5455,3448,1821,1364,520,275,206
Orange,888,4162,1606,661,6669,4162,2260,1648,516,280,204
Orange,1005,2984,1105,477,4684,2984,1555,1189,521,271,208
Orange,1122,2367,866,383,3691,2367,1218,955,521,268,210
Orange,1239,2441,898,396,3817,2441,1263,987,520,269,210
Orange,1355,2902,1086,471,4729,2902,1528,1174,518,273,209
Orange,1474,3300,1240,525,5224,3300,1745,1309,519,275,206
Orange,1591,3593,1367,572,5713,3593,1923,1426,518,277,205
Orange,1710,3921,1514,627,6278,3921,2130,1563,515,280,205
Orange,1828,3825,1484,616,6131,3825,2088,1536,513,280,206
Orange,1946,2650,990,434,4181,2650,1393,1082,517,272,211
Orange,2063,3210,1212,523,5087,3210,1705,1304,516,274,210
Orange,2181,3730,1418,596,5923,3730,1995,1486,517,277,206
Orange,2300,4272,1649,681,6834,4272,2320,1698,515,280,205
Orange,2418,4241,1634,677,6776,4241,2299,1688,515,279,205
Orange,2536,3142,1175,511,4961,3142,1653,1274,518,272,210
Orange,2654,2768,1033,444,4367,2768,1453,1107,520,273,208
Orange,2772,3060,1160,491,4862,3060,1632,1224,517,276,207
Orange,2891,3105,1178,498,4937,3105,1657,1242,517,276,207
Orange,3009,3811,1491,615,6144,3811,2098,1533,512,282,206
Orange,3127,3911,1545,633,6329,3911,2174,1578,510,284,206
Orange,3245,4006,1594,650,6501,4006,2243,1620,509,285,206
Orange,3364,3439,1338,558,5531,3439,1883,1391,512,281,207
