capture_label,elapsed_ms,raw_r,raw_g,raw_b,raw_c,balanced_r,balanced_g,balanced_b,normalized_r,normalized_g,normalized_b
Red,54,626,187,166,887,626,263,414,480,202,318
Red,171,700,192,169,975,700,270,421,503,194,303
Red,279,655,192,170,929,655,270,424,486,200,314
Red,388,661,193,171,934,661,272,426,486,200,313
Red,496,1095,271,214,1503,1095,381,534,545,190,266
Red,608,1202,301,232,1661,1202,424,578,545,192,262
Red,719,1043,255,205,1420,1043,359,511,545,188,267
Red,829,946,238,195,1295,946,335,486,535,190,275
Red,939,1030,252,199,1407,1030,355,496,548,189,264
Red,1049,1180,295,223,1629,1180,415,556,549,193,258
Red,1161,1165,294,222,1611,1165,414,553,546,194,259
Red,1273,1222,309,231,1696,1222,435,576,547,195,258
Red,1385,1191,298,225,1658,1191,419,561,549,193,258
Red,1497,1148,292,222,1594,1148,411,553,544,195,262
Red,1608,1104,271,207,1517,1104,381,516,552,190,258
Red,1721,1220,309,231,1699,1220,435,576,547,195,258
Red,1833,1292,342,248,1821,1292,481,618,540,201,258
Red,1944,1287,337,244,1800,1287,474,608,543,200,257
Red,2057,1313,368,266,1887,1313,518,663,526,208,266
Red,2169,1308,375,268,1894,1308,528,668,522,211,267
Red,2280,1195,299,224,1652,1195,421,558,550,194,257
Red,2393,879,217,173,1204,879,305,431,544,189,267
Red,2502,794,201,164,1086,794,283,409,534,190,275
Red,2612,836,211,170,1148,836,297,424,537,191,272
Red,2723,846,204,166,1145,846,287,414,547,186,268
Red,2832,889,213,172,1204,889,300,429,549,185,265
Red,2942,818,202,164,1116,818,284,409,541,188,271
Red,3052,1053,271,209,1471,1053,381,521,539,195,266
Red,3164,1045,264,202,1450,1045,371,504,544,193,263
Red,3275,982,247,192,1354,982,348,479,543,192,265
Red,3386,1055,272,208,1466,1055,383,519,539,196,265
Red,3498,1098,272,207,1506,1098,383,516,550,192,258
Red,3609,1125,280,212,1546,1125,394,529,549,192,258
Red,3722,1290,342,250,1771,1290,481,623,539,201,260
Red,3834,1373,384,274,1961,1373,540,683,529,208,263
Red,3945,1336,360,259,1882,1336,507,646,537,204,260
Red,4058,1361,377,268,1935,1361,530,668,532,207,261
Red,4169,1334,363,263,1889,1334,511,656,533,204,262
Red,4281,1057,267,206,1461,1057,376,514,543,193,264
Red,4394,1091,275,211,1512,1091,387,526,544,193,262
Red,4505,1322,362,257,1868,1322,509,641,535,206,259
Red,4617,1337,360,257,1885,1337,507,641,538,204,258
Red,4730,1354,375,267,1936,1354,528,666,531,207,261
Red,4841,1309,388,270,1898,1309,546,673,518,216,266
Red,4953,1339,385,270,1924,1339,542,673,524,212,264
Red,5065,1296,389,270,1883,1296,547,673,515,217,267
Red,5177,1357,375,267,1932,1357,528,666,532,207,261
Red,5289,1191,294,223,1639,1191,414,556,551,192,257
Red,5401,1136,277,212,1557,1136,390,529,553,190,257
Red,5513,1134,277,212,1558,1134,390,529,552,190,258
Red,5625,1252,316,235,1735,1252,445,586,548,195,257
Red,5737,1349,367,263,1911,1349,516,656,535,205,260
Red,5849,1266,383,268,1837,1266,539,668,512,218,270
Red,5960,1207,378,264,1764,1207,532,658,504,222,275
Red,6073,1187,376,262,1739,1187,529,653,501,223,276
Red,6185,1284,382,268,1857,1284,537,668,516,216,268
Red,6296,1282,327,242,1782,1282,460,603,547,196,257
Red,6409,1082,260,201,1475,1082,366,501,555,188,257
Red,6521,1055,256,199,1447,1055,360,496,552,188,260
Red,6632,1188,293,221,1642,1188,412,551,552,192,256
Red,6745,1318,352,254,1867,1318,495,633,539,202,259
Red,6856,1335,382,269,1916,1335,537,671,525,211,264
Red,6968,1239,388,269,1821,1239,546,671,504,222,273
Red,7081,1248,386,268,1826,1248,543,668,508,221,272
Red,7192,1286,335,245,1803,1286,471,611,543,199,258
Red,7304,1146,294,222,1600,1146,414,553,542,196,262
Red,7417,1216,313,231,1691,1216,440,576,545,197,258
Red,7528,1154,291,218,1595,1154,409,543,548,194,258
Red,7640,1281,337,245,1719,1281,474,611,541,200,258
Red,7752,1336,369,263,1898,1336,519,656,532,207,261
Red,7864,1357,383,274,1956,1357,539,683,526,209,265
Red,7976,1333,406,286,1956,1333,571,713,509,218,272
Red,8088,1297,403,282,1905,1297,567,703,505,221,274
Red,8200,1321,354,255,1872,1321,498,636,538,203,259
Red,8312,1115,274,209,1539,1115,386,521,551,191,258
Red,8424,1110,274,209,1535,1110,386,521,550,191,258
Red,8536,1263,327,241,1776,1263,460,601,543,198,259
Red,8647,1335,365,261,1905,1335,514,651,534,206,260
Red,8760,1301,397,278,1912,1301,559,693,510,219,271
Red,8872,1270,391,272,1863,1270,550,678,508,220,271
Red,8983,1332,357,257,1882,1332,502,641,538,203,259
Red,9096,1243,315,233,1731,1243,443,581,548,195,256
Red,9208,1156,283,214,1590,1156,398,534,554,191,256
Red,9319,1143,279,213,1568,1143,393,531,553,190,257
Red,9432,1278,327,241,1780,1278,460,601,546,197,257
Red,9543,1336,355,257,1881,1336,499,641,540,202,259
Red,9655,1357,378,269,1936,1357,532,671,530,208,262
Red,9768,1356,383,271,1944,1356,539,676,527,210,263
Red,9879,1252,316,235,1737,1252,445,586,548,195,257
Red,9991,1125,275,210,1546,1125,387,524,553,190,257
Red,10104,1109,270,207,1522,1109,380,516,553,190,257
Red,10216,1195,297,224,1647,1195,418,558,550,193,257
Red,10329,1339,355,257,1884,1339,499,641,540,201,259
Red,10442,1362,370,265,1929,1362,521,661,535,205,260
Red,10555,1352,383,272,1939,1352,539,678,526,210,264
Red,10668,1337,351,254,1874,1337,494,633,543,200,257
Red,10781,1244,313,233,1723,1244,440,581,549,194,257
Red,10894,1019,246,192,1391,1019,346,479,553,188,260
Red,11007,1082,263,203,1483,1082,370,506,553,189,258
Red,11120,1256,319,237,1745,1256,449,591,547,196,257
Red,11233,1300,338,248,1819,1300,476,618,543,199,258
Red,11346,1337,358,259,1887,1337,504,646,538,203,260
Red,11459,1319,387,273,1903,1319,545,681,518,214,268
Red,11572,1296,390,275,1880,1296,549,686,512,217,271
Red,11685,1304,390,275,1890,1304,549,686,514,216,270
Red,11798,1302,390,275,1887,1302,549,686,513,216,270
Red,11911,1298,339,248,1815,1298,477,618,542,199,258
Red,12025,1237,312,232,1713,1237,439,578,549,195,256
Red,12137,1276,328,240,1776,1276,461,598,546,197,256
Red,12250,1329,373,266,1893,1329,525,663,528,209,263
Red,12363,1321,380,269,1893,1321,535,671,523,212,266
Red,12476,1291,380,267,1860,1291,535,666,518,215,267
Red,12589,1283,380,265,1851,1283,535,661,518,216,267
Red,12702,1326,371,263,1889,1326,522,656,530,208,262
Red,12815,1297,337,244,1810,1297,474,608,545,199,256
Red,12928,1272,323,237,1769,1272,454,591,549,196,255
Red,13041,1262,318,234,1747,1262,447,583,551,195,254
Red,13154,1280,327,241,1780,1280,460,601,547,196,257
Red,13267,1311,369,261,1865,1311,519,651,528,209,262
Red,13380,1314,370,262,1870,1314,521,653,528,209,262
Red,13493,1309,372,261,1866,1309,523,651,527,211,262
Red,13606,1296,370,259,1853,1296,521,646,526,212,262
Red,13719,1329,367,261,1883,1329,516,651,532,207,261
Red,13832,1206,296,222,1657,1206,416,553,554,191,254
Red,13946,1229,305,228,1693,1229,429,568,552,193,255
Red,14058,1300,332,246,1814,1300,467,613,546,196,258
Red,14171,1335,353,258,1881,1335,497,643,539,201,260
Red,14285,1348,371,267,1918,1348,522,666,532,206,263
Red,14397,1310,387,275,1896,1310,545,686,516,214,270
Red,14510,1350,367,265,1914,1350,516,661,534,204,262
Red,14623,1280,320,239,1774,1280,450,596,550,193,256
Red,14736,1255,309,232,1733,1255,435,578,553,192,255
Red,14849,1211,295,224,1666,1211,415,558,554,190,255
Red,14962,1305,331,246,1716,1305,466,613,547,195,257
Red,15075,1357,354,255,1898,1357,498,636,545,200,255
Red,15188,1378,367,262,1936,1378,516,653,541,203,256
Red,15301,1377,381,269,1956,1377,536,671,533,207,260
Red,15414,1380,383,270,1962,1380,539,673,532,208,260
Red,15527,1381,385,271,1965,1381,542,676,531,209,260
Red,15640,1380,385,271,1965,1380,542,676,531,209,260
Red,15753,1348,350,253,1883,1348,492,631,546,199,255
Red,15866,1290,325,241,1792,1290,457,601,549,195,256
Red,15979,1301,327,241,1804,1301,460,601,551,195,254
Red,16092,1316,332,244,1825,1316,467,608,550,195,254
Red,16206,1367,358,258,1913,1367,504,643,544,200,256
Red,16318,1402,385,273,1987,1402,542,681,534,206,259
Red,16431,1409,391,277,2005,1409,550,691,532,208,261
Red,16544,1412,394,279,2012,1412,554,696,530,208,261
Red,16657,1425,397,284,2039,1425,559,708,529,208,263
Red,16770,1353,353,259,1897,1353,497,646,542,199,259
Red,16883,1270,319,238,1757,1270,449,593,549,194,256
Red,16996,1205,300,227,1666,1205,422,566,549,192,258
Red,17109,1214,303,229,1680,1214,426,571,549,193,258
Red,17222,1269,321,240,1767,1269,452,598,547,195,258
Red,17335,1384,356,260,1936,1384,501,648,546,198,256
Red,17448,1403,374,269,1983,1403,526,671,540,202,258
Red,17561,1409,397,282,2019,1409,559,703,528,209,263
Red,17674,1406,390,279,2006,1406,549,696,530,207,263
Red,17787,1406,396,281,2013,1406,557,701,528,209,263
Red,17900,1399,396,284,2007,1399,557,708,525,209,266
Red,18013,1412,398,283,2024,1412,560,706,527,209,264
Red,18127,1415,395,282,2025,1415,556,703,529,208,263
Red,18239,1416,393,280,2024,1416,553,698,531,207,262
Red,18352,1417,386,275,2015,1417,543,686,536,205,259
Red,18466,1416,384,275,2013,1416,540,686,536,204,260
Red,18578,1328,344,254,1863,1328,484,633,543,198,259
Red,18691,1363,346,254,1899,1363,487,633,549,196,255
Red,18804,1326,325,240,1821,1326,457,598,557,192,251
Red,18917,1108,259,200,1502,1108,364,499,562,185,253
Red,19030,1123,269,207,1536,1123,378,516,557,187,256
Red,19143,1348,339,249,1869,1348,477,621,551,195,254
Red,19256,1373,350,255,1909,1373,492,636,549,197,254
Red,19369,1362,375,266,1928,1362,528,663,533,207,260
Red,19482,1334,378,266,1897,1334,532,663,527,210,262
Red,19595,1348,384,271,1925,1348,540,676,526,211,264
Red,19708,1180,292,220,1625,1180,411,548,552,192,256
Red,19821,1142,280,213,1567,1142,394,531,552,191,257
Red,19934,1112,269,205,1519,1112,378,511,556,189,255
Red,54,626,187,166,887,626,263,414,480,202,318
Red,171,700,192,169,975,700,270,421,503,194,303
Red,279,655,192,170,929,655,270,424,486,200,314
Red,388,661,193,171,934,661,272,426,486,200,313
Red,496,1095,271,214,1503,1095,381,534,545,190,266
Red,608,1202,301,232,1661,1202,424,578,545,192,262
Red,719,1043,255,205,1420,1043,359,511,545,188,267
Red,829,946,238,195,1295,946,335,486,535,190,275
Red,939,1030,252,199,1407,1030,355,496,548,189,264
Red,1049,1180,295,223,1629,1180,415,556,549,193,258
Red,1161,1165,294,222,1611,1165,414,553,546,194,259
Red,1273,1222,309,231,1696,1222,435,576,547,195,258
Red,1385,1191,298,225,1658,1191,419,561,549,193,258
Red,1497,1148,292,222,1594,1148,411,553,544,195,262
Red,1608,1104,271,207,1517,1104,381,516,552,190,258
Red,1721,1220,309,231,1699,1220,435,576,547,195,258
Red,1833,1292,342,248,1821,1292,481,618,540,201,258
Red,1944,1287,337,244,1800,1287,474,608,543,200,257
Red,2057,1313,368,266,1887,1313,518,663,526,208,266
Red,2169,1308,375,268,1894,1308,528,668,522,211,267
Red,2280,1195,299,224,1652,1195,421,558,550,194,257
Red,2393,879,217,173,1204,879,305,431,544,189,267
Red,2502,794,201,164,1086,794,283,409,534,190,275
Red,2612,836,211,170,1148,836,297,424,537,191,272
Red,2723,846,204,166,1145,846,287,414,547,186,268
Red,2832,889,213,172,1204,889,300,429,549,185,265
Red,2942,818,202,164,1116,818,284,409,541,188,271
Red,3052,1053,271,209,1471,1053,381,521,539,195,266
Red,3164,1045,264,202,1450,1045,371,504,544,193,263
Red,3275,982,247,192,1354,982,348,479,543,192,265
Red,3386,1055,272,208,1466,1055,383,519,539,196,265
Red,3498,1098,272,207,1506,1098,383,516,550,192,258
Red,3609,1125,280,212,1546,1125,394,529,549,192,258
Red,3722,1290,342,250,1771,1290,481,623,539,201,260
Red,3834,1373,384,274,1961,1373,540,683,529,208,263
Red,3945,1336,360,259,1882,1336,507,646,537,204,260
Red,4058,1361,377,268,1935,1361,530,668,532,207,261
Red,4169,1334,363,263,1889,1334,511,656,533,204,262
Red,4281,1057,267,206,1461,1057,376,514,543,193,264
Red,4394,1091,275,211,1512,1091,387,526,544,193,262
Red,4505,1322,362,257,1868,1322,509,641,535,206,259
Red,4617,1337,360,257,1885,1337,507,641,538,204,258
Red,4730,1354,375,267,1936,1354,528,666,531,207,261
Red,4841,1309,388,270,1898,1309,546,673,518,216,266
Red,4953,1339,385,270,1924,1339,542,673,524,212,264
Red,5065,1296,389,270,1883,1296,547,673,515,217,267
Red,5177,1357,375,267,1932,1357,528,666,532,207,261
Red,5289,1191,294,223,1639,1191,414,556,551,192,257
Red,5401,1136,277,212,1557,1136,390,529,553,190,257
Red,5513,1134,277,212,1558,1134,390,529,552,190,258
Red,5625,1252,316,235,1735,1252,445,586,548,195,257
Red,5737,1349,367,263,1911,1349,516,656,535,205,260
Red,5849,1266,383,268,1837,1266,539,668,512,218,270
Red,5960,1207,378,264,1764,1207,532,658,504,222,275
Red,6073,1187,376,262,1739,1187,529,653,501,223,276
Red,6185,1284,382,268,1857,1284,537,668,516,216,268
Red,6296,1282,327,242,1782,1282,460,603,547,196,257
Red,6409,1082,260,201,1475,1082,366,501,555,188,257
Red,6521,1055,256,199,1447,1055,360,496,552,188,260
Red,6632,1188,293,221,1642,1188,412,551,552,192,256
Red,6745,1318,352,254,1867,1318,495,633,539,202,259
Red,6856,1335,382,269,1916,1335,537,671,525,211,264
Red,6968,1239,388,269,1821,1239,546,671,504,222,273
Red,7081,1248,386,268,1826,1248,543,668,508,221,272
Red,7192,1286,335,245,1803,1286,471,611,543,199,258
Red,7304,1146,294,222,1600,1146,414,553,542,196,262
Red,7417,1216,313,231,1691,1216,440,576,545,197,258
Red,7528,1154,291,218,1595,1154,409,543,548,194,258
Red,7640,1281,337,245,1719,1281,474,611,541,200,258
Red,7752,1336,369,263,1898,1336,519,656,532,207,261
Red,7864,1357,383,274,1956,1357,539,683,526,209,265
Red,7976,1333,406,286,1956,1333,571,713,509,218,272
Red,8088,1297,403,282,1905,1297,567,703,505,221,274
Red,8200,1321,354,255,1872,1321,498,636,538,203,259
Red,8312,1115,274,209,1539,1115,386,521,551,191,258
Red,8424,1110,274,209,1535,1110,386,521,550,191,258
Red,8536,1263,327,241,1776,1263,460,601,543,198,259
Red,8647,1335,365,261,1905,1335,514,651,534,206,260
Red,8760,1301,397,278,1912,1301,559,693,510,219,271
Red,8872,1270,391,272,1863,1270,550,678,508,220,271
Red,8983,1332,357,257,1882,1332,502,641,538,203,259
Red,9096,1243,315,233,1731,1243,443,581,548,195,256
Red,9208,1156,283,214,1590,1156,398,534,554,191,256
Red,9319,1143,279,213,1568,1143,393,531,553,190,257
Red,9432,1278,327,241,1780,1278,460,601,546,197,257
Red,9543,1336,355,257,1881,1336,499,641,540,202,259
Red,9655,1357,378,269,1936,1357,532,671,530,208,262
Red,9768,1356,383,271,1944,1356,539,676,527,210,263
Red,9879,1252,316,235,1737,1252,445,586,548,195,257
Red,9991,1125,275,210,1546,1125,387,524,553,190,257
Red,10104,1109,270,207,1522,1109,380,516,553,190,257
Red,10216,1195,297,224,1647,1195,418,558,550,193,257
Red,10329,1339,355,257,1884,1339,499,641,540,201,259
Red,10442,1362,370,265,1929,1362,521,661,535,205,260
Red,10555,1352,383,272,1939,1352,539,678,526,210,264
Red,10668,1337,351,254,1874,1337,494,633,543,200,257
Red,10781,1244,313,233,1723,1244,440,581,549,194,257
Red,10894,1019,246,192,1391,1019,346,479,553,188,260
Red,11007,1082,263,203,1483,1082,370,506,553,189,258
Red,11120,1256,319,237,1745,1256,449,591,547,196,257
Red,11233,1300,338,248,1819,1300,476,618,543,199,258
Red,11346,1337,358,259,1887,1337,504,646,538,203,260
Red,11459,1319,387,273,1903,1319,545,681,518,214,268
Red,11572,1296,390,275,1880,1296,549,686,512,217,271
Red,11685,1304,390,275,1890,1304,549,686,514,216,270
Red,11798,1302,390,275,1887,1302,549,686,513,216,270
Red,11911,1298,339,248,1815,1298,477,618,542,199,258
Red,12025,1237,312,232,1713,1237,439,578,549,195,256
Red,12137,1276,328,240,1776,1276,461,598,546,197,256
Red,12250,1329,373,266,1893,1329,525,663,528,209,263
Red,12363,1321,380,269,1893,1321,535,671,523,212,266
Red,12476,1291,380,267,1860,1291,535,666,518,215,267
Red,12589,1283,380,265,1851,1283,535,661,518,216,267
Red,12702,1326,371,263,1889,1326,522,656,530,208,262
Red,12815,1297,337,244,1810,1297,474,608,545,199,256
Red,12928,1272,323,237,1769,1272,454,591,549,196,255
Red,13041,1262,318,234,1747,1262,447,583,551,195,254
Red,13154,1280,327,241,1780,1280,460,601,547,196,257
Red,13267,1311,369,261,1865,1311,519,651,528,209,262
Red,13380,1314,370,262,1870,1314,521,653,528,209,262
Red,13493,1309,372,261,1866,1309,523,651,527,211,262
Red,13606,1296,370,259,1853,1296,521,646,526,212,262
Red,13719,1329,367,261,1883,1329,516,651,532,207,261
Red,13832,1206,296,222,1657,1206,416,553,554,191,254
Red,13946,1229,305,228,1693,1229,429,568,552,193,255
Red,14058,1300,332,246,1814,1300,467,613,546,196,258
Red,14171,1335,353,258,1881,1335,497,643,539,201,260
Red,14285,1348,371,267,1918,1348,522,666,532,206,263
Red,14397,1310,387,275,1896,1310,545,686,516,214,270
Red,14510,1350,367,265,1914,1350,516,661,534,204,262
Red,14623,1280,320,239,1774,1280,450,596,550,193,256
Red,14736,1255,309,232,1733,1255,435,578,553,192,255
Red,14849,1211,295,224,1666,1211,415,558,554,190,255
Red,14962,1305,331,246,1716,1305,466,613,547,195,257
Red,15075,1357,354,255,1898,1357,498,636,545,200,255
Red,15188,1378,367,262,1936,1378,516,653,541,203,256
Red,15301,1377,381,269,1956,1377,536,671,533,207,260
Red,15414,1380,383,270,1962,1380,539,673,532,208,260
Red,15527,1381,385,271,1965,1381,542,676,531,209,260
Red,15640,1380,385,271,1965,1380,542,676,531,209,260
Red,15753,1348,350,253,1883,1348,492,631,546,199,255
Red,15866,1290,325,241,1792,1290,457,601,549,195,256
Red,15979,1301,327,241,1804,1301,460,601,551,195,254
Red,16092,1316,332,244,1825,1316,467,608,550,195,254
Red,16206,1367,358,258,1913,1367,504,643,544,200,256
Red,16318,1402,385,273,1987,1402,542,681,534,206,259
Red,16431,1409,391,277,2005,1409,550,691,532,208,261
Red,16544,1412,394,279,2012,1412,554,696,530,208,261
Red,16657,1425,397,284,2039,1425,559,708,529,208,263
Red,16770,1353,353,259,1897,1353,497,646,542,199,259
Red,16883,1270,319,238,1757,1270,449,593,549,194,256
Red,16996,1205,300,227,1666,1205,422,566,549,192,258
Red,17109,1214,303,229,1680,1214,426,571,549,193,258
Red,17222,1269,321,240,1767,1269,452,598,547,195,258
Red,17335,1384,356,260,1936,1384,501,648,546,198,256
Red,17448,1403,374,269,1983,1403,526,671,540,202,258
Red,17561,1409,397,282,2019,1409,559,703,528,209,263
Red,17674,1406,390,279,2006,1406,549,696,530,207,263
Red,17787,1406,396,281,2013,1406,557,701,528,209,263
Red,17900,1399,396,284,2007,1399,557,708,525,209,266
Red,18013,1412,398,283,2024,1412,560,706,527,209,264
Red,18127,1415,395,282,2025,1415,556,703,529,208,263
Red,18239,1416,393,280,2024,1416,553,698,531,207,262
Red,18352,1417,386,275,2015,1417,543,686,536,205,259
Red,18466,1416,384,275,2013,1416,540,686,536,204,260
Red,18578,1328,344,254,1863,1328,484,633,543,198,259
Red,18691,1363,346,254,1899,1363,487,633,549,196,255
Red,18804,1326,325,240,1821,1326,457,598,557,192,251
Red,18917,1108,259,200,1502,1108,364,499,562,185,253
Red,19030,1123,269,207,1536,1123,378,516,557,187,256
Red,19143,1348,339,249,1869,1348,477,621,551,195,254
Red,19256,1373,350,255,1909,1373,492,636,549,197,254
Red,19369,1362,375,266,1928,1362,528,663,533,207,260
Red,19482,1334,378,266,1897,1334,532,663,527,210,262
Red,19595,1348,384,271,1925,1348,540,676,526,211,264
Red,19708,1180,292,220,1625,1180,411,548,552,192,256
Red,19821,1142,280,213,1567,1142,394,531,552,191,257
Red,19934,1112,269,205,1519,1112,378,511,556,189,255
